Frequency,Speech Rate,Pitch Variability,ZCR,RMS Energy,Temporal Centroid,Spectral Centroid,Spectral Bandwidth,Spectral Contrast,Spectral Flatness,MFCCs,Chroma Vector,HNR,Tonal Centroid,Outcome
2004.2,2201.5,1012.2,0.098,0.0859,0.887,1872.82,1556.03,23.16,0.0003,-1.28,0.5336,-16.698,0.0061,1
1581.61,2374.5,872.34,0.105,0.2422,0.855,1634.66,1281.41,26.86,0.0014,-8.56,0.3056,-25.801,-0.0302,1
2288.26,3633,912.46,0.162,0.1595,0.754,2378.6,1610.06,26.18,0.0006,-19.14,0.3061,-20.254,-0.0244,1
1874.84,2568,745.31,0.115,0.1057,0.63,1856.88,1528.92,26.97,0.0004,-23.32,0.2826,-21.269,-0.0189,1
3370.12,4264.5,1102.01,0.191,0.1427,1.013,2889.91,1873.75,26.27,0.0004,-21.6,0.2962,-19.77,0.0018,1
1401.83,1568.5,872.3,0.07,0.1891,0.871,1390.06,1375.29,24.5,0.0006,-2.99,0.3777,-15.984,0.036,1
289.2,0,0.02,0,0.5129,1.004,225.9,765.88,24.69,0,-11.43,0.7792,-14.545,-0.021,1
1522.71,1513.5,426.12,0.067,0.1776,0.928,1447.44,1240.52,26.48,0.0001,-3.61,0.3436,-17.834,0.0587,1
2436.7,3588,619.83,0.159,0.1308,0.942,2316.48,1512.7,27.11,0.0006,-19.91,0.3066,-19.388,0.005,1
1595.44,2284,605.26,0.101,0.1143,0.558,1736.09,1448.52,27.95,0.0012,-23.79,0.3171,-19.983,0.0347,1
2456.48,3663,300.47,0.164,0.0999,0.825,2290.7,1647.21,26.07,0.0004,-20.83,0.3357,-21.623,-0.0015,1
1959.37,2214,510.88,0.098,0.1496,1.14,1904.42,1552.22,25.97,0.0006,-15.75,0.3301,-19.859,0.0082,1
3201.83,4749.5,677.89,0.212,0.1492,0.814,2803.74,1654.57,26.31,0.0007,-19.77,0.2857,-21.85,-0.0195,1
857.84,1053.5,369.54,0.047,0.1558,1.011,1001.66,1293.73,23.75,0.0001,-5.34,0.3919,-15.154,-0.0194,1
3381.69,3762,715.77,0.166,0.1058,0.844,2362.61,1529.85,27.44,0.0004,-23.75,0.2831,-18.102,0.0214,1
1205.38,1130,175.56,0.05,0.2458,0.888,1204.33,1383.88,25.19,0.0001,-5,0.2754,-21.201,-0.0136,1
1384.54,1418.5,851.24,0.063,0.159,1.09,1335.57,1438.39,23.52,0.0001,-0.91,0.4207,-12.629,0.0013,1
1867.5,3012.5,939.94,0.135,0.2433,0.678,1974.42,1540.25,26.21,0.0001,-10.18,0.2856,-26.158,0.0029,1
1487.15,1868.5,678.92,0.084,0.1782,0.886,1517.82,1526.59,24.6,0.0002,-5.91,0.33,-17.875,0.0022,1
1466.36,2453,768.92,0.11,0.1748,0.836,1788.53,1478.46,27.07,0.0001,-12.19,0.3378,-18.894,0.0065,1
2331.53,2898.5,479.07,0.128,0.1621,0.826,2207.41,1627.47,27.79,0.0009,-12.72,0.3329,-21.502,-0.0035,1
2754.98,2726,586.21,0.122,0.144,0.934,2190.77,1776.44,27.84,0.0002,-16.93,0.2852,-18.908,0.002,1
1667.68,1918.5,762.26,0.085,0.1737,0.645,1657.13,1663.47,23.42,0.0003,-1.29,0.3765,-14.402,-0.0352,1
2255.64,3156.5,1210.21,0.14,0.2139,0.99,2082.54,1646.16,25.21,0.0009,-5.49,0.3775,-19.18,-0.0228,1
1853.4,1520,1165.59,0.068,0.1464,1.306,1708.31,1530.43,23.21,0.0003,-5.71,0.5725,-22.704,0.0631,1
1911.53,2560,466.42,0.114,0.1371,1.015,1951.13,1676.7,26.72,0.0003,-20.38,0.2996,-22.293,-0.0082,1
1551.72,1957,528.58,0.087,0.1387,1.075,1702.05,1593.19,28.51,0.0007,-18.24,0.3193,-18.016,0.0188,1
2894.93,3930.5,702.77,0.175,0.1374,0.622,2429.87,1629.08,26.08,0.001,-18.68,0.3029,-20.547,0.008,1
2590.92,3344,712.81,0.15,0.1258,0.977,2250.87,1667.3,26.74,0.0002,-20.85,0.2886,-21.383,-0.0012,1
2169.36,2191,111.93,0.098,0.116,0.716,1791.91,1527.83,27.31,0.0001,-19.47,0.2938,-17.85,0.0268,1
1474.44,2289,788.56,0.101,0.144,0.615,1707.63,1516.59,24.98,0.0012,-11.3,0.3495,-18.05,0.0008,1
1440.57,1305,760.19,0.058,0.2602,0.902,1374.06,1518.58,26.55,0.0001,-5.86,0.2974,-15.744,-0.0082,1
1213.22,1690.5,456.01,0.076,0.1228,0.515,1327.81,1399.59,22.03,0.0002,-8.4,0.439,-17.192,-0.0007,1
2229.78,2886,954.86,0.128,0.1744,0.876,2047.67,1603.8,25.11,0.0004,-6.75,0.3392,-18.604,-0.0356,1
2024.82,2226.5,867.43,0.1,0.1233,0.698,1746.29,1581.35,24.22,0.0002,-4.17,0.4351,-16.691,0.0014,1
1930.9,1997.5,758.57,0.089,0.1144,0.649,1685.75,1540.24,27.67,0.0002,-11.41,0.3144,-19.344,0.0253,1
1469.92,1785,935.88,0.079,0.1058,0.742,1556.73,1287.76,23.47,0.0006,-7.26,0.453,-17.322,0.0053,1
2075.58,4103.5,1170.54,0.184,0.0887,0.467,2367.41,1350.15,22.58,0.0003,-21.87,0.411,-24.131,0.0067,1
1950.67,2717,1302.45,0.122,0.1846,0.937,1889.28,1475.73,24.18,0.0001,-2.24,0.3711,-13.42,0.0001,1
1485.15,2280,938.11,0.1,0.1893,0.82,1642.45,1388.26,25.34,0.0014,-9.98,0.269,-23.921,-0.0003,1
2158.28,2507,994.24,0.111,0.1115,0.834,2145.56,1607.7,24.72,0.0004,-9.56,0.3469,-20.846,-0.0036,1
2161.1,2065.5,1082.44,0.091,0.2658,0.892,1809.45,1627.55,25.79,0.0006,-8.2,0.311,-22.773,-0.031,1
1677.21,2263,937.12,0.101,0.2115,0.819,1662.49,1475.25,24.87,0.0002,-5.49,0.3672,-16.617,-0.0017,1
1558,1500.5,943.49,0.067,0.2623,0.929,1650.71,1730.23,24.91,0.0001,-6.95,0.34,-19.327,-0.0206,1
1629.6,2466,294.76,0.11,0.2093,0.897,1795.11,1614.73,26.21,0.0004,-9.22,0.3197,-25.044,-0.0129,1
1277.96,1782.5,96.48,0.08,0.2068,0.946,1415.88,1414.52,25.35,0.0001,-7.55,0.297,-16.44,-0.0065,1
1346.01,2326.5,1034.53,0.103,0.2592,0.98,1520.9,1341.07,26.3,0.0004,-11.16,0.2873,-26.48,-0.0037,1
1829.64,2719.5,783.63,0.122,0.1582,0.919,1937.4,1460.2,25.83,0.0003,-11.3,0.3532,-21.531,0.0204,1
1184.22,1341,238.47,0.06,0.189,0.844,1202.12,1232.15,24.32,0.0001,-8.81,0.317,-18.597,-0.0152,1
1948.41,2105.5,580.25,0.094,0.1773,1.029,2071.77,2049.62,22.8,0.0007,1.59,0.4599,-15.622,0.0151,1
1704.95,2381.5,527.65,0.107,0.1197,0.452,1927.45,1977.55,23.22,0.0004,-8.53,0.4606,-16.899,0.0228,1
3138.32,4115,599.02,0.184,0.1093,1.049,2518.61,1573.32,26.55,0.0002,-23.95,0.2784,-22.837,0.0232,1
2033.79,2476.5,1080.43,0.109,0.3101,0.567,1889.98,1496.83,28.2,0.0003,-10.27,0.2677,-29.674,-0.058,1
953.42,1291.5,384.07,0.058,0.2376,1.093,1073.93,1159.28,23.48,0,-10.28,0.3303,-17.987,0.0188,1
1393.54,1869.5,573.65,0.083,0.1772,0.748,1509.08,1248.42,26.74,0.0003,-21.49,0.3151,-21.54,0.027,1
1228.7,1594.5,231.73,0.071,0.1214,0.773,1352.95,1359.64,23.85,0.0002,-11.08,0.3379,-17.94,0.0297,1
1153.21,1867,615.03,0.084,0.1918,0.858,1344.39,1422.51,24.34,0.0002,-0.31,0.4009,-15.209,-0.0008,1
2172.1,3468.5,1161.11,0.155,0.1211,0.717,2421.42,1745.55,24.47,0.0006,-11.72,0.3931,-22.387,0.0175,1
1976.2,1816,1078.91,0.081,0.1188,0.639,1699.61,1593.05,22.11,0.0001,-4.85,0.5271,-17.271,-0.0172,1
1739.8,2797.5,1405.58,0.125,0.0842,0.509,1835.83,1349.62,23.2,0.0002,-11.38,0.4529,-17.27,-0.0027,1
1219.82,1100,760.19,0.049,0.2004,0.915,1182.36,1488.26,24.17,0.0001,-0.58,0.3721,-13.561,-0.0344,1
1429.85,1354,998.16,0.061,0.1165,0.887,1486.92,1449.51,22.51,0.0001,-5.09,0.4759,-17.34,-0.0149,1
1832.81,2397.5,565.79,0.106,0.1486,0.588,1841.13,1553.79,26.92,0.0005,-22.53,0.2792,-20.577,0.0286,1
2236.68,2923.5,255.23,0.129,0.1019,0.682,2135.35,1615.58,26.73,0.0004,-20.54,0.3273,-21.251,0.0313,1
2768.83,3650,741.4,0.162,0.1221,0.785,2316.53,1623.3,25.91,0.0007,-18.93,0.3213,-21.759,0.0036,1
1314.54,1852,527.15,0.083,0.188,0.894,1450.6,1389.08,24.04,0.0003,-5.31,0.4392,-16.977,-0.0071,1
1678.88,2594.5,786.45,0.116,0.1296,0.368,1868.46,1496.39,25.92,0.0005,-23.82,0.3539,-21.609,-0.0087,1
1263.86,1337.5,767.29,0.059,0.1834,0.822,1356.03,1257.4,25.3,0.0006,-5.28,0.3665,-18.947,-0.0222,1
2808.02,4349.5,636.09,0.194,0.1772,0.885,2560.73,1653.18,26.39,0.0016,-18.45,0.2997,-21.227,-0.0089,1
2786.71,3548.5,571.17,0.159,0.1573,1.028,2530.14,1800.74,25.48,0.0004,-20.81,0.3391,-20.93,-0.0201,1
1684.1,2457,734.43,0.108,0.1519,0.872,1782.85,1499.24,26.86,0.0008,-22.72,0.2939,-21.437,0.0097,1
497.05,648,495.83,0.029,0.1733,0.774,526.93,688.26,22.75,0,-3.07,0.4048,-11.731,-0.0072,1
1120.86,303,765.46,0.013,0.1998,1.096,880.18,1279.17,23,0.0001,-6.18,0.6063,-20.878,0.0021,1
1870.28,2398.5,552.74,0.107,0.1734,0.836,1904.36,1666.78,26.44,0.0003,-21.76,0.2972,-22.189,-0.011,1
2065.72,2967,1269.67,0.132,0.1004,0.83,2042.28,1510.14,23.72,0.0008,-16.76,0.4169,-21.867,0.0025,1
2950.81,3955.5,1208.85,0.176,0.1695,0.86,2617.7,1634.13,24.87,0.0015,-8.29,0.3662,-25.353,-0.0171,1
3013.6,4769,636.86,0.212,0.1173,0.855,2815.12,1653.98,27.57,0.0006,-19.65,0.2652,-21.016,0.0005,1
2635.41,2803.5,604.59,0.124,0.1234,0.785,2061.33,1661.56,25.44,0.0003,-20.94,0.3089,-22.071,0.0038,1
2425.02,3376,1355.38,0.151,0.1294,0.766,2078.65,1388.92,23.95,0.0002,-10.69,0.3556,-19.946,-0.0052,1
1581.34,2449.5,310.99,0.11,0.1791,0.902,1695.64,1396.24,27.44,0.0001,-16.12,0.2793,-22.402,-0.0226,1
2129.16,3687,917.14,0.165,0.1929,0.858,2423.63,1838.19,25.09,0.0005,-6.77,0.3417,-18.757,0.01,1
1318.75,1353,199.26,0.06,0.1079,0.742,1293.42,1170.6,25.26,0.0002,-11.46,0.3388,-17.549,0.0112,1
1280.73,615,645.06,0.028,0.4042,1.443,1097.59,1550.74,22.14,0.0001,3.41,0.445,-14.226,0.0558,1
2476.93,2876.5,917.43,0.129,0.1203,0.696,2071.72,1670.61,25.9,0.0005,-7.77,0.3465,-19.298,0.0092,1
1947.5,2447,629.56,0.109,0.2297,0.923,1992.19,1683.05,26.71,0.0013,-8.99,0.2794,-26.405,-0.0112,1
1625.75,1885,732.59,0.084,0.1357,0.896,1553.37,1373.81,27.34,0.0002,-19.58,0.2928,-18.969,0.0241,1
2968.45,3633.5,910.76,0.162,0.0846,0.808,2428.07,1800.39,26.98,0.0021,-24,0.3268,-20.175,-0.0275,1
1704.83,1981,135.3,0.088,0.2016,0.778,1673.53,1598.74,30.86,0.0003,-17.14,0.2958,-17.572,0.0492,1
2082.07,3012,993.43,0.135,0.1435,0.778,2137.58,1583.45,27.53,0.0002,-24.29,0.2464,-21.107,0.009,1
963.26,804,223.14,0.036,0.3137,1.09,962.92,1210.91,28.02,0.0001,-9.66,0.2232,-27.707,-0.0198,1
2501.75,3769,166.35,0.169,0.0948,0.696,2425,1571,27.74,0.0001,-22.34,0.2592,-20.496,0.0048,1
1694.57,3027,500.19,0.135,0.1202,0.572,1890.81,1453.87,26.82,0.0003,-23.26,0.3181,-20.136,-0.0023,1
2091.86,3015,1057.79,0.135,0.1553,0.594,2187.19,1581.38,25.74,0.0008,-22.89,0.3087,-23.212,0.0062,1
2480.01,4184,1022.55,0.185,0.1124,0.719,2427.42,1522.61,25.78,0.0013,-21.61,0.3245,-21.511,-0.0224,1
1075.71,1690.5,554.59,0.076,0.1804,0.874,1313.67,1251.18,22.95,0.0002,-2.95,0.3559,-18.231,0.0128,1
1602.86,2020,1087,0.09,0.1267,0.771,1686.33,1599.73,23.36,0.0003,-6.06,0.4064,-16.062,0.0142,1
2190.32,2310,783.5,0.103,0.1335,0.967,1962.85,1645.58,27.17,0.0002,-18.29,0.2565,-20.643,-0.0157,1
1857.36,1987,713.48,0.089,0.1639,0.899,1630.98,1419.95,24.2,0.0002,0.85,0.4133,-14.849,0.0096,1
1412.91,2585.5,736.15,0.114,0.1959,1.071,1646.01,1411.45,25.36,0.0005,-5.56,0.3535,-17.419,-0.0145,1
1510.93,1805,742.33,0.08,0.1596,0.876,1499.02,1505.35,23.39,0.0014,-3.22,0.3832,-15.253,-0.0201,1
1250.14,2042,702.44,0.091,0.0891,0.939,1469.52,1382.85,25.67,0.0003,-18.65,0.3842,-16.963,0.0324,1
1060.62,269,99.69,0.012,0.2785,1.113,962.95,1588.87,24.23,0,3.01,0.4525,-20.898,0.0916,1
2189.4,2565,1001.54,0.115,0.1007,0.908,1875.2,1475.71,26.99,0.0002,-22.85,0.2894,-21.617,0.0141,1
1185.21,1457,591.14,0.065,0.3072,0.843,1307.83,1357.71,27.5,0.0002,-10.79,0.2712,-27.326,0.001,1
2342.3,4422.5,568.09,0.198,0.1577,0.77,2557.59,1918.12,23.34,0.0007,-11.47,0.419,-20.818,0.0131,1
1513.26,1276,668.27,0.057,0.1806,0.818,1385.26,1563.18,24.02,0.0002,1.99,0.3943,-15.104,-0.0158,1
1592.58,1664.5,527.61,0.074,0.143,0.857,1615.16,1672.08,24.36,0.0004,-7.72,0.3744,-18.727,0.0243,1
1734.68,2426.5,305.43,0.109,0.1968,0.924,1707.79,1614.42,25.28,0.0003,-6.05,0.3369,-17.116,-0.0046,1
1862.28,2547,647.35,0.114,0.1563,0.61,1788.27,1363.57,25.69,0.0001,-16.5,0.3378,-19.991,-0.0254,1
1691.76,1981,430.57,0.088,0.1567,1.24,1709.46,1506.74,27.08,0.0002,-20.55,0.2537,-23.525,0.0077,1
1965.41,2523,440.42,0.113,0.1396,1.125,2077.19,1736.98,24.36,0.0004,-4.94,0.3306,-17.171,0.0207,1
1654.87,2222.5,1290.55,0.099,0.2156,0.822,1679.44,1388.05,25.52,0.0002,-7.4,0.3499,-18.665,-0.0334,1
2085.78,2846.5,823.48,0.127,0.0896,0.471,2153.74,1724.27,23.79,0.0006,-12.62,0.4931,-21.156,0.002,1
2350.79,2848,1073.14,0.126,0.1811,0.954,2289.5,1836.44,26.09,0.0004,-9.72,0.3329,-25.074,0.0132,1
1537.5,1680,172.65,0.075,0.1701,0.812,1447,1422.67,26.27,0.0002,-20.02,0.3108,-20.745,-0.0172,1
1459.95,1595.5,163.57,0.071,0.1244,0.817,1514.37,1475.28,24.67,0.0001,-8.5,0.3629,-16.955,0.0067,1
1767.95,2738,1268.96,0.123,0.1946,1.165,1942.9,1511.16,25.97,0.0002,-9.66,0.3315,-20.187,-0.0085,1
1878.01,2200,623.42,0.098,0.1074,0.908,2018.43,1757.55,23.91,0.0006,-8.66,0.5137,-20.9,0.0494,1
1330.87,2550,1233.26,0.114,0.108,0.785,1616.41,1253.8,23.52,0.0002,-10.34,0.4162,-17.642,0.0149,1
1798.07,2025,1249.91,0.091,0.1222,1.025,1701.56,1493.63,23.47,0.0002,-5.08,0.4051,-16.623,0.0052,1
2486.16,2843,560.76,0.126,0.1086,0.892,2091.82,1573.73,26.82,0.0004,-23.07,0.2976,-22.548,-0.0164,1
1178.68,967.5,614.01,0.043,0.1442,0.857,1159.96,1279.95,23.03,0.0004,-3.31,0.4508,-14.166,0.0152,1
1730.83,1825,601.74,0.082,0.1604,0.875,1739.33,1551.14,25.09,0.0001,-11.98,0.2873,-20.399,0.0103,1
1188.09,1844,344.07,0.082,0.1559,0.664,1389.81,1332.63,24.24,0.0002,-2.44,0.3974,-15.027,0.0106,1
2098.42,2700,994.81,0.12,0.0979,0.815,2104.45,1576.08,21.97,0.0003,-5.91,0.5094,-18.525,-0.0098,1
1183.61,747.5,66.27,0.033,0.1963,0.876,1131.38,1497.78,24.97,0.0001,-0.52,0.3334,-12.272,0.0093,1
1395.27,1307,886.1,0.058,0.1565,0.765,1327.86,1366.01,23.65,0.0001,-3.58,0.4232,-17.612,0.0251,1
